Pop,Lat,Long,Latdec,Longdec,Species
CA,"  2°28'57.94""S"," 65°24'56.77""W",-2.482761,-65.415769,S. fluviatilis
CO,"  3°55'23.55""S"," 70°32'47.76""W",-3.923209,-70.5466,S. fluviatilis
CR,"  9°37'7.66""N"," 82°33'34.25""W",9.618796,-82.559515,S. guianensis
EC,"  0°59'8.11""S"," 75°17'56.22""W",-0.985587,-75.298949,S. fluviatilis
FG,"  4°56'12.33""N"," 52°16'28.14""W",4.936759,-52.274484,S. guianensis
IG," 23° 4'30.48""S"," 44°38'12.40""W",-23.075133,-44.636778,S. guianensis
JU,"  3°58'31.66""S"," 66°26'27.78""W",-3.975462,-66.44105,S. fluviatilis
PA,"  0°52'37.04""S"," 46°35'6.82""W",-0.876955,-46.585228,S. guianensis
PE,"  3°28'11.85""S"," 72°44'14.49""W",-3.469958,-72.73736,S. fluviatilis
PR," 25°27'26.38""S"," 48°21'49.99""W",-25.457326,-48.363887,S. guianensis
RN,"  6°11'0.91""S"," 35° 5'37.81""W",-6.183587,-35.093837,S. guianensis
SC," 26°14'31.89""S"," 48°39'52.44""W",-26.242191,-48.664566,S. guianensis
SE," 23° 0'34.75""S"," 43°59'6.68""W",-23.009653,-43.98519,S. guianensis
SP," 25° 3'31.72""S"," 47°55'17.39""W",-25.058811,-47.921498,S. guianensis
TO,"  3° 3'20.79""S"," 49°38'48.33""W",-3.055776,-49.646758,Unknown
VZ," 10°12'24.89""N"," 71°35'4.55""W",10.206915,-71.584598,S. guianensis
