Locality,Species,Geo_group,Habitat,Geograhical.location,Original.folder,Original.file..the.orinal.names.are.before.the.first.underscore.,number.encounters.analyzed,Contour.name,name,finalcategory,Behavioural.state,Group.size,av.group.size,calves,otherspecies,samp.rate.khz
Solimoes,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia-Sotalia-Solimões-22-04-2014,ZOOM0048_1_WC,9,CA_1,original_CA_1.ctr,24,feeding,7,NA,yes,Inia,96
Solimoes,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia-Sotalia-Solimões-22-04-2014,ZOOM0044_1_wc_3,9,CA_10,original_CA_10.ctr,382,feeding,7,NA,yes,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-05-04-2014,ZOOM0009 (2)_7_WC_1,9,CA_100,original_CA_100.ctr,32,feeding,4,NA,yes,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-05-04-2014,ZOOM0009 (2)_7_WC_2,9,CA_101,original_CA_101.ctr,1,feeding,4,NA,yes,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-07-04-2014,ZOOM0011_1_WC_1,9,CA_102,original_CA_102.ctr,158,feeding,2,NA,no,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-07-04-2014,ZOOM0012_1_WC_1,9,CA_103,original_CA_103.ctr,158,feeding,2,NA,no,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-07-04-2014,ZOOM0013_1_WC_1,9,CA_104,original_CA_104.ctr,36,feeding,2,NA,no,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-07-04-2014,ZOOM0013_4_WC_1,9,CA_105,original_CA_105.ctr,158,feeding,2,NA,no,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-07-04-2014,ZOOM0013_5_WC_1,9,CA_106,original_CA_106.ctr,158,feeding,2,NA,no,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-07-04-2014,ZOOM0013_6_WC_1,9,CA_107,original_CA_107.ctr,158,feeding,2,NA,no,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-07-04-2014,ZOOM0013_7_WC_1,9,CA_108,original_CA_108.ctr,158,feeding,2,NA,no,Inia,96
Japura,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia_Sotalia-Japurá-07-04-2014,ZOOM0013_8_WC_1,9,CA_109,original_CA_109.ctr,158,feeding,2,NA,no,Inia,96
Solimoes,Sotalia fluviatilis,Eastern Amazon,Riverine,Central Amazon,Inia-Sotalia-Solimões-22-04-2014,ZOOM0044_1_wc_4,9,CA_11,original_CA_11.ctr,262,feeding,7,NA,yes,Inia,96
