,CA,CO,CR,EC,FG,IG,JU,PA,PE,PR,RN,SC,SE,SP,TO,VZ
CA,0,591.7,2327,1111,1677,3202,201.3,2100,820.4,3139,3386,3190,3247,3133,1753,1568
CO,591.7,0,2010,620.8,2256,3506,455.5,2683,248.3,3368,3934,3404,3558,3372,2322,1575
CR,2327,2010,0,1427,3379,5499,2340,4150,1817,5377,5544,5414,5548,5381,3909,1204
EC,1111,620.8,1427,0,2641,4121,1039,3192,396.6,3968,4497,4001,4174,3975,2860,1311
FG,1677,2256,3379,2641,0,3223,1860,904,2458,3406,2273,3489,3235,3368,935.4,2207
IG,3202,3506,5499,4121,3223,0,3163,2477,3726,461.4,2138,538.2,67.07,399.8,2290,4722
JU,201.3,455.5,2340,1039,1860,3163,0,2232,700.9,3071,3480,3117,3210,3068,1867,1677
PA,2100,2683,4150,3192,904,2477,2232,0,2920,2740,1405,2829,2477,2693,417.7,3028
PE,820.4,248.3,1817,396.6,2458,3726,700.9,2920,0,3572,4181,3604,3780,3579,2564,1526
PR,3139,3368,5377,3968,3406,461.4,3071,2740,3572,0,2566,92.31,520.7,62.79,2495,4696
RN,3386,3934,5544,4497,2273,2138,3480,1405,4181,2566,0,2655,2099,2504,1650,4433
SC,3190,3404,5414,4001,3489,538.2,3117,2829,3604,92.31,2655,0,594,151.2,2580,4750
SE,3247,3558,5548,4174,3235,67.07,3210,2477,3780,520.7,2099,594,0,460.1,2301,4761
SP,3133,3372,5381,3975,3368,399.8,3068,2693,3579,62.79,2504,151.2,460.1,0,2454,4686
TO,1753,2322,3909,2860,935.4,2290,1867,417.7,2564,2495,1650,2580,2301,2454,0,2842
VZ,1568,1575,1204,1311,2207,4722,1677,3028,1526,4696,4433,4750,4761,4686,2842,0
