name,folder,date,bytes,isdir,datenum,maxFreq,meanFreq,minFreq,ctrlength,tempres,veclength
CA_1.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,831,0,737967.657847222,19546.875,17312.8644314869,13968.75,0.228666666666667,0.000666666666666667,343
CA_10.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:20,730,0,737967.65787037,21890.625,18490.2012711864,13031.25,0.118,0.000666666666666667,177
CA_100.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:20,803,0,737967.65787037,12234.375,10356.1068227092,7875,0.334666666666667,0.000666666666666667,502
CA_101.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,569,0,737967.657893519,11859.375,10366.3959251101,8718.75,0.151333333333333,0.000666666666666667,227
CA_102.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,884,0,737967.657893519,19640.625,13439.201183432,8953.125,0.563333333333333,0.000666666666666667,845
CA_103.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,926,0,737967.657893519,20015.625,14349.216655496,9984.375,0.497333333333333,0.000666666666666667,746
CA_104.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:20,877,0,737967.65787037,12562.5,10762.188077634,6000,0.360666666666667,0.000666666666666667,541
CA_105.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,1083,0,737967.657893519,21234.375,14926.2060676393,9890.625,0.502666666666667,0.000666666666666667,754
CA_106.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,872,0,737967.657893519,19640.625,14842.8705824607,9937.5,0.509333333333333,0.000666666666666667,764
CA_107.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,977,0,737967.657893519,20859.375,13681.41468509,9093.75,0.518666666666667,0.000666666666666667,778
CA_108.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,930,0,737967.657893519,19828.125,14237.6974483597,8812.5,0.548666666666667,0.000666666666666667,823
CA_109.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,935,0,737967.657893519,19218.75,14586.5368985696,9796.875,0.512666666666667,0.000666666666666667,769
CA_11.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,522,0,737967.657847222,15984.375,14477.5390625,11156.25,0.064,0.000666666666666667,96
CA_110.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:20,930,0,737967.65787037,18703.125,13585.2855677155,9703.125,0.487333333333333,0.000666666666666667,731
CA_111.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:20,646,0,737967.65787037,19312.5,16381.5625,12796.875,0.3,0.000666666666666667,450
CA_112.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,834,0,737967.657893519,18703.125,13711.6580018083,10406.25,0.368666666666667,0.000666666666666667,553
CA_113.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:22,907,0,737967.657893519,19359.375,14070.4648328691,9937.5,0.478666666666667,0.000666666666666667,718
CA_12.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,942,0,737967.657847222,17812.5,11099.0205223881,6140.625,0.223333333333333,0.000666666666666667,335
CA_13.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:20,688,0,737967.65787037,19546.875,15641.1345108696,140.625,0.184,0.000666666666666667,276
CA_14.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,724,0,737967.657847222,11812.5,10779.9010791367,6843.75,0.278,0.000666666666666667,417
CA_15.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,661,0,737967.657847222,12000,10866.796875,7875,0.133333333333333,0.000666666666666667,200
CA_16.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,784,0,737967.657847222,11203.125,10370.0530888031,7406.25,0.345333333333333,0.000666666666666667,518
CA_17.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:20,955,0,737967.65787037,22359.375,19547.4319306931,14671.875,0.673333333333333,0.000666666666666667,1010
CA_18.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,903,0,737967.657847222,12187.5,10928.464673913,7968.75,0.46,0.000666666666666667,690
CA_19.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,930,0,737967.657847222,12187.5,11006.5417256011,8156.25,0.471333333333333,0.000666666666666667,707
CA_2.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:16,720,0,737967.657824074,17718.75,15538.8122775801,13218.75,0.187333333333333,0.000666666666666667,281
CA_20.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,1010,0,737967.657847222,15093.75,10682.3991557223,6656.25,0.355333333333333,0.000666666666666667,533
CA_21.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:20,731,0,737967.65787037,12890.625,12182.2599085366,10500,0.328,0.000666666666666667,492
CA_22.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,430,0,737967.657847222,13031.25,12947.8125,12703.125,0.1,0.000666666666666667,150
CA_23.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,705,0,737967.657847222,10828.125,10013.3272058824,9140.625,0.226666666666667,0.000666666666666667,340
CA_24.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:18,526,0,737967.657847222,13453.125,12547.3151408451,11531.25,0.0946666666666667,0.000666666666666667,142
